id,bad,w_pct_cnt_to_black,w_app_cnt_m1,w_app_time_minus_update_time,w_cpa_rt_days,w_cpc_cnt_week_cv,w_cpc_mthly_call_02_cnt,w_be_not_familiar,w_d_7_cnt,w_cnt_applied_over_cnt_all,w_most_familiar_applied,w_d_30_cnt,w_rpt_org_m3
6725,0,-0.050609438,-0.114576736,-0.133867924,0.168365271,-0.190036537,-0.156092085,-0.186296131,0.098940128,-0.146480844,-0.103970127,0.172905067,-0.081371326
6734,0,0.050593938,-0.738327125,-0.28968773,-0.019167012,0.008388903,-0.156092085,-0.186296131,-0.690002775,0.214857769,0.06111476,-0.408212008,-0.081371326
6774,0,0.050593938,-0.114576736,-0.28968773,0.168365271,0.219471095,0.133516041,0.070292526,-0.086194664,-0.057475643,0.06111476,-0.408212008,-0.081371326
6739,0,0.050593938,0.301451979,0.02171007,-0.09846067,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,0.06111476,0.082506884,0.162955769
6746,0,0.050593938,0.033448676,-0.28968773,-0.09846067,0.008388903,-0.156092085,0.290523645,-0.690002775,0.214857769,0.06111476,-0.21804462,0.162955769
6758,0,0.050593938,-0.439143824,-0.28968773,-0.019167012,-0.190036537,-0.156092085,0.290523645,-0.690002775,0.108872828,0.06111476,-0.408212008,-0.081371326
6811,1,0.050593938,-0.738327125,-0.133867924,-0.09846067,0.008388903,-0.156092085,0.070292526,-0.690002775,-0.146480844,0.06111476,-0.408212008,-0.081371326
6803,0,0.050593938,0.301451979,-0.28968773,-0.019167012,0.219471095,0.133516041,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
6836,0,0.050593938,-0.114576736,-0.133867924,-0.09846067,-0.190036537,-0.156092085,0.070292526,-0.086194664,-0.146480844,0.06111476,-0.408212008,-0.081371326
6842,1,0.050593938,-0.248885013,-0.28968773,-0.019167012,0.219471095,0.444287528,0.070292526,-0.086194664,0.108872828,0.06111476,-0.061875188,-0.081371326
6867,0,0.050593938,-0.114576736,-0.133867924,-0.019167012,-0.190036537,-0.156092085,-0.186296131,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
6886,1,0.050593938,-0.248885013,-0.28968773,-0.09846067,-0.190036537,-0.156092085,-0.186296131,-0.086194664,-0.146480844,0.06111476,0.082506884,-0.57493887
6897,1,0.050593938,0.033448676,-0.133867924,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
6923,0,0.050593938,-0.114576736,-0.28968773,-0.09846067,-0.488645144,-0.156092085,0.290523645,-0.086194664,0.108872828,0.06111476,-0.061875188,-0.081371326
6963,0,0.050593938,0.033448676,0.132377357,-0.09846067,0.008388903,0.133516041,-0.13947193,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
6955,0,0.050593938,-0.114576736,-0.133867924,-0.019167012,-0.190036537,0.133516041,-0.186296131,0.098940128,0.214857769,0.06111476,0.172905067,-0.081371326
6970,1,-0.050609438,-0.114576736,-0.133867924,0.168365271,0.219471095,0.133516041,-0.13947193,0.098940128,0.108872828,-0.103970127,0.082506884,-0.081371326
6978,0,0.050593938,0.301451979,0.132377357,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
6995,1,0.050593938,-0.114576736,-0.133867924,-0.09846067,-0.190036537,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,-0.061875188,-0.081371326
7015,1,-0.050609438,-0.738327125,-0.28968773,-0.019167012,-0.190036537,-0.156092085,-0.186296131,-0.690002775,-0.146480844,0.06111476,-0.061875188,-0.081371326
7002,0,0.050593938,-0.114576736,0.132377357,-0.019167012,-0.488645144,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,-0.081371326
7047,0,0.050593938,-0.248885013,-0.133867924,0.168365271,0.219471095,0.444287528,0.070292526,-0.086194664,0.108872828,0.06111476,-0.21804462,-0.57493887
7056,0,0.050593938,0.301451979,0.256830669,0.168365271,-0.190036537,-0.156092085,0.290523645,-0.086194664,0.214857769,0.06111476,0.082506884,0.162955769
7100,0,-0.050609438,0.301451979,0.132377357,-0.019167012,-0.190036537,-0.156092085,-0.13947193,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
7161,0,0.050593938,0.033448676,0.256830669,-0.019167012,0.008388903,0.133516041,0.070292526,0.098940128,0.214857769,-0.103970127,0.172905067,-0.081371326
7193,0,0.050593938,0.301451979,0.02171007,0.168365271,0.219471095,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,-0.061875188,0.162955769
7204,0,-0.050609438,-0.114576736,0.256830669,-0.019167012,0.219471095,0.444287528,0.290523645,0.098940128,-0.057475643,0.06111476,0.172905067,-0.081371326
7233,0,0.050593938,-0.738327125,-0.28968773,-0.09846067,0.219471095,-0.156092085,0.070292526,-0.086194664,-0.057475643,0.06111476,-0.21804462,-0.081371326
7240,1,0.050593938,0.033448676,0.256830669,0.168365271,0.219471095,-0.156092085,0.070292526,0.098940128,-0.057475643,-0.103970127,0.082506884,0.162955769
7244,0,0.050593938,0.033448676,0.132377357,-0.019167012,0.219471095,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
7251,1,0.050593938,0.033448676,0.132377357,-0.019167012,-0.488645144,-0.156092085,0.070292526,0.098940128,-0.057475643,0.06111476,0.082506884,0.162955769
7288,0,0.050593938,-0.738327125,0.02171007,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,0.06111476,-0.061875188,-0.081371326
7326,0,0.050593938,0.301451979,0.256830669,-0.09846067,-0.190036537,-0.156092085,0.070292526,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
7337,1,0.050593938,-0.738327125,-0.133867924,0.168365271,-0.190036537,-0.156092085,0.290523645,0.098940128,0.214857769,0.06111476,-0.408212008,-0.57493887
7355,0,0.050593938,0.033448676,-0.133867924,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,0.082506884,-0.081371326
7395,0,0.050593938,-0.114576736,-0.28968773,-0.019167012,-0.190036537,-0.156092085,0.070292526,-0.086194664,0.214857769,0.06111476,0.082506884,-0.081371326
7399,0,-0.050609438,0.301451979,0.256830669,0.168365271,0.219471095,-0.156092085,0.290523645,0.098940128,0.108872828,0.06111476,0.082506884,-0.081371326
7440,0,0.050593938,0.033448676,0.132377357,-0.019167012,0.008388903,-0.156092085,0.290523645,0.098940128,0.214857769,0.06111476,0.082506884,0.162955769
7452,1,-0.050609438,0.033448676,-0.133867924,-0.019167012,-0.190036537,-0.156092085,0.290523645,0.098940128,0.108872828,-0.103970127,-0.061875188,-0.081371326
7460,0,0.050593938,-0.738327125,0.132377357,0.168365271,0.219471095,-0.156092085,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,-0.57493887
7458,0,-0.050609438,0.301451979,0.256830669,-0.019167012,0.008388903,0.444287528,0.070292526,0.098940128,-0.146480844,-0.103970127,0.172905067,0.162955769
7489,0,-0.050609438,0.301451979,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,-0.103970127,0.172905067,0.162955769
7517,0,0.050593938,0.033448676,-0.133867924,0.003989988,-0.190036537,-0.156092085,0.070292526,0.098940128,0.108872828,-0.103970127,-0.21804462,-0.081371326
7531,1,0.050593938,0.301451979,-0.133867924,0.003989988,-0.190036537,-0.156092085,0.070292526,0.098940128,0.214857769,0.06111476,-0.061875188,0.162955769
7541,1,0.050593938,0.033448676,-0.133867924,-0.019167012,-0.488645144,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,-0.061875188,0.162955769
7582,0,0.050593938,0.301451979,-0.133867924,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,-0.103970127,-0.061875188,0.162955769
7586,0,-0.050609438,-0.248885013,-0.28968773,-0.09846067,0.008388903,-0.156092085,-0.186296131,-0.690002775,-0.146480844,-0.103970127,-0.21804462,-0.081371326
7606,1,-0.050609438,0.301451979,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
7616,1,-0.050609438,-0.738327125,-0.133867924,-0.019167012,-0.190036537,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,-0.21804462,-0.081371326
